timestamp,agent.name,rule.description,rule.level,rule.id
"Jun 30, 2026 @ 22:53:37.785","srv-prod","PAM: Login session closed.","3","5502"
"Jun 30, 2026 @ 22:53:35.803","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 22:53:35.803","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 22:53:35.803","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 22:53:35.803","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 22:53:35.803","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 22:53:33.832","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 22:53:33.819","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 22:53:31.852","srv-prod","sshd: brute force trying to get access to the system. Authentication failed.","10","5763"
"Jun 30, 2026 @ 22:53:31.844","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 22:53:31.835","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 22:53:31.827","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 22:53:31.775","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 22:53:29.171","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 22:53:29.171","srv-prod","Successful sudo to ROOT executed.","3","5402"
"Jun 30, 2026 @ 22:53:29.171","srv-prod","PAM: Login session opened.","3","5501"
